"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
51012,27,"Mississippi","COCKRUM",38593.1,0,35,0,1348,1550,139,0,1,1344,800,231,2475,71,7139,1871,233,12,17249,0.2
51013,27,"Mississippi","WALTHALL",39021.7,0,106,0,1922,134,0,0,0,4096,1287,919,1837,5,2400,2973,1555,128,17362,0.2
51014,27,"Mississippi","DUCK HILL",38402.4,0,93,0,2310,252,21,0,18,5677,770,470,2906,19,3016,1007,398,40,16997,0.2
51015,27,"Mississippi","FOREST",39331.5,0,77,0,1611,116,20,0,0,1849,3358,3275,2153,21,3491,381,1158,2,17512,0.2
51016,27,"Mississippi","LAKE",39861.1,0,44,0,3001,527,282,51,0,1710,2382,1850,2412,240,3793,118,1340,27,17777,0.2
51017,27,"Mississippi","MT CARMEL",39413.9,0,29,0,1805,306,17,0,43,1006,4088,2367,2852,299,4303,193,185,14,17507,0.2
51018,27,"Mississippi","COLUMBIA",43117.4,0,84,0,2278,293,98,110,160,18,3049,128,2732,1654,2383,239,5872,41,19139,0.2
51019,27,"Mississippi","POPLARVILLE",37783.8,0,61,0,2484,413,179,58,27,14,3536,448,2880,1226,2842,451,2109,98,16826,0.2
51020,27,"Mississippi","CYBUR",41211.9,0,237,0,1752,58,8,0,7,11,3841,485,4041,981,3956,610,2233,67,18287,0.2
51021,27,"Mississippi","CORINTH",39067.4,0,70,0,1815,445,0,0,17,2737,2237,757,3635,465,2359,1710,694,335,17276,0.2
51022,27,"Mississippi","TUPELO",39773.7,0,181,0,2597,936,362,125,6,2742,874,1113,1831,264,2523,3396,596,46,17592,0.2
51023,27,"Mississippi","MACON",38530.9,0,966,0,2269,991,98,16,21,658,226,249,572,120,5296,4771,484,364,17101,0.2
51024,27,"Mississippi","SCOOBA",39105.6,0,59,0,1922,30,0,0,187,3356,3888,2317,2875,153,1826,47,598,7,17265,0.2
51025,27,"Mississippi","ABERDEEN",39049.5,0,58,0,1697,1411,351,15,103,331,174,39,1200,162,6655,4639,477,161,17473,0.2
51026,27,"Mississippi","DUFFEE",36744.2,0,796,0,1967,435,102,16,13,3013,2123,1536,2019,111,2634,158,1344,30,16297,0.2
