"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
2001,27,"Alabama","ST FLORIAN",39343.2,0,3595,0,9092,4433,1316,269,0,19317,2436,1986,7175,845,27227,8844,1573,133,88241,1
2002,24,"Alabama","HILLSBORO",38721.3,0,332,0,3971,329,77,0,165,23972,5928,6170,5333,4216,20477,7842,5753,0,84565,1
2004,28,"Alabama","TRADE",38132.3,0,1115,0,3894,537,262,18,91,25049,6792,8146,4336,2041,32918,1398,640,6,87243,1
2005,28,"Alabama","SUMMITT",39094,0,228,0,6402,3361,773,220,223,20544,4275,4729,4992,2538,36595,3843,823,7,89553,1
2006,24,"Alabama","VALHRMSA SPG",46576,0,14234,0,6740,6824,3866,1839,52,17052,4303,3688,6006,2189,19271,12655,6574,20,105313,1
2007,24,"Alabama","SWAIM",44022,0,212,0,5436,1502,238,26,46,34149,2324,4276,4675,1774,27038,14711,2787,117,99311,1
2008,28,"Alabama","PINE GROVE",40435,0,10315,0,5312,3169,885,265,297,17766,16605,6688,3788,4534,13615,7324,994,85,91642,1
2009,28,"Alabama","DAWSON",40163.5,0,1243,0,5169,1106,388,22,16,16614,3896,9807,3084,1250,38953,10060,394,0,92002,1
2010,29,"Alabama","MILLERVILLE",40426.6,0,253,0,4572,123,23,0,526,40522,20678,886,2871,7954,9383,25,2048,7,89871,1
2011,28,"Alabama","DEARMANVILLE",35248.4,0,204,0,6717,1313,128,3,129,23190,13293,5501,1790,4610,21370,2166,531,0,80945,1
2012,28,"Alabama","SUNNY EVE",35108.3,0,876,0,3169,193,0,0,55,42501,21249,460,304,1134,3041,689,150,0,73821,1
2013,28,"Alabama","GREENSPORT",37452.4,0,1173,0,8608,1622,1501,249,660,30178,8521,3043,4439,6398,14874,1750,1781,5,84802,1
2014,28,"Alabama","SMYER LAKE",42712.8,0,1653,0,13198,4768,1730,149,713,34093,15695,4664,3676,6036,6539,896,2000,0,95810,1
2015,28,"Alabama","MT OLIVE",40920.3,0,751,0,7059,684,166,12,753,30543,14127,3534,5069,6447,16652,5199,691,0,91687,1
2016,27,"Alabama","HOWARD",41849.7,0,328,0,6257,1024,758,392,23,28462,10528,10922,13987,2346,7871,6692,4052,55,93697,1
2017,28,"Alabama","MAYTOWN",39765.3,0,1990,0,6353,227,41,16,487,34852,25323,8524,5737,2603,2328,93,788,18,89380,1
2019,27,"Alabama","LIBERTY",41622.1,0,687,0,5562,737,132,10,29,28391,10866,11391,12608,1435,8957,1645,11295,216,93961,1
2020,27,"Alabama","RIDERWOOD",37579.8,0,566,0,4664,192,9,0,0,14285,20450,14613,8684,2488,7940,559,11793,131,86374,1
2021,27,"Alabama","LINDEN",47011.2,0,250,0,3708,82,60,0,12,16837,33903,16803,14114,5250,4462,1260,7948,24,104713,1
2022,27,"Alabama","HARRELL",39821.1,0,1169,0,6062,275,54,0,71,5773,21046,5237,5404,776,25381,4086,14716,1259,91309,1
2023,27,"Alabama","GREENSBORO",38349,0,713,0,3703,24,5,0,38,24950,17416,17831,10473,926,2301,2260,5114,277,86031,1
2024,27,"Alabama","SPRAGUE",42658.8,0,800,0,3125,307,37,0,5,33307,19632,6384,14395,1870,5974,4928,4164,229,95157,1
2025,27,"Alabama","BILLINGSLEY",40750,0,931,0,5542,888,133,0,247,25281,10107,9198,11086,3075,16844,6313,2183,12,91840,1
2026,27,"Alabama","WALLSBORO",42437.3,0,948,0,5073,712,166,35,354,27739,8549,15032,12169,426,11758,6677,5511,46,95195,1
2027,27,"Alabama","WARRIOR STD",41772.3,0,1353,0,7443,1990,554,252,3332,13711,20011,17719,9867,283,8659,4196,4775,106,94251,1
2028,29,"Alabama","LANETT",40098.4,0,905,0,4886,1458,270,87,41,24352,26389,1455,4729,6999,17063,48,2404,0,91086,1
2029,27,"Alabama","COTTONTON",37971.5,0,1495,0,5544,1019,115,16,0,13928,17144,9176,14556,371,9264,6379,7754,136,86897,1
2030,27,"Alabama","NEWTON",40052.1,0,333,0,5044,715,56,10,89,7512,14640,3178,15094,692,10991,31228,1680,86,91348,1
2031,27,"Alabama","GRANGEBURG",38757.8,0,369,0,4692,640,102,5,7,5974,13154,1997,12254,1151,9396,33001,5277,124,88143,1
2032,27,"Alabama","BRUNDIDGE",37820,0,1026,0,4200,954,278,72,31,11455,11404,10481,12201,1249,13992,13595,3951,95,84984,1
2033,27,"Alabama","BRANTLEY",42784.3,0,788,0,5063,672,336,52,38,15364,20168,11013,11599,754,14242,7494,8761,183,96527,1
2034,27,"Alabama","SOUTH",40886.6,0,179,0,3935,80,33,0,0,21151,36888,8788,8357,2721,6491,1513,3180,31,93347,1
2035,27,"Alabama","MCLELLAN",39516,0,290,0,3296,188,0,0,38,3782,48919,8432,11346,4189,3548,4456,1784,68,90336,1
2036,27,"Alabama","BEATRICE",42200.8,0,210,0,5450,1075,216,95,0,23839,31042,7000,8615,4313,4089,351,7660,500,94455,1
2037,27,"Alabama","LATHAM",37016.2,0,219,0,3831,158,0,0,128,5462,36327,12719,9195,3915,1929,3756,6987,386,85012,1
2038,27,"Alabama","CASTLEBERRY",40001.3,0,165,0,3139,358,50,0,60,5988,27861,7722,8209,10305,8241,11766,4485,557,88906,1
2039,27,"Alabama","MILLRY",39681.3,0,346,0,4407,241,104,9,0,10643,20070,23623,9989,5333,9458,1110,4424,50,89807,1
2040,27,"Alabama","DAUPHIN IS",45708.3,0,31201,0,7032,2692,600,85,980,0,15719,84,6285,3768,6778,1697,19477,6099,102497,1
2041,27,"Alabama","ALABAMA PT",42733.4,0,36651,0,6890,10778,4255,1008,6726,79,13027,0,4196,947,0,0,6086,5786,96429,1
2042,27,"Alabama","FOLEY",40481,0,170,0,8260,1858,768,262,271,13,20110,125,7130,5458,9663,27109,10081,600,91878,1
2043,27,"Alabama","BLOCTON",38624.8,0,665,0,5243,811,176,21,837,28366,25123,10034,6008,2519,5187,587,1773,8,87358,1
2044,28,"Alabama","BIRMINGHAM",42528.1,0,123,0,18335,40200,14592,9411,16,2906,638,614,208,195,1220,259,253,0,88970,1
2045,27,"Alabama","WHITEHOUSE",48357.2,0,77,0,4960,541,65,7,57,35672,22837,7842,9768,3875,15368,1881,817,20,103787,1
2046,28,"Alabama","GUNTERSVILLE",39668.1,0,15492,0,5922,3801,1224,602,148,26414,5274,5113,3701,1661,14087,1593,1281,31,86344,1
2047,27,"Alabama","JENA",39899.9,0,975,0,3710,304,59,0,46,24098,6195,11778,10364,1027,13860,2762,13999,171,89348,1
2048,27,"Alabama","EPES",40023.6,0,4290,0,5311,785,7,0,95,14403,13716,6758,6953,1873,19218,1153,15954,485,91001,1
2049,27,"Alabama","WEDGEWORTH",40977,0,3342,0,5369,1366,330,47,0,16660,17128,10505,7679,1182,9718,3216,16433,328,93303,1
2050,27,"Alabama","WHITEHALL",37352.3,0,604,0,5274,487,13,0,0,17731,11802,2032,10854,788,10625,15042,9263,999,85514,1
2051,28,"Alabama","LIBERTY CITY",38701,0,131,0,3989,1118,306,65,472,30529,26473,1238,6235,8372,6357,212,608,0,86105,1
2052,27,"Alabama","ESCATAWPA",40825.3,0,709,0,3888,50,6,0,0,2522,29687,18627,15264,5783,5675,1967,7219,220,91617,1
2053,27,"Alabama","GROVE HILL",41118.4,0,289,0,7020,1351,935,242,176,9502,33908,19508,10371,5460,2356,165,1981,27,93291,1
2054,27,"Alabama","FAIRVIEW",40364.4,0,991,0,4796,510,66,1,0,3518,23081,5319,17117,1833,12179,12617,8563,1216,91807,1
2055,27,"Alabama","ELAMVILLE",38981.2,0,622,0,3671,201,15,0,0,16264,24510,4109,16096,1661,7649,7709,4681,96,87284,1
2056,28,"Alabama","CHILDERSBURG",39797.6,0,5132,0,5016,1359,833,432,872,17716,14631,3982,2867,8728,15535,9169,4752,14,91038,1
2057,28,"Alabama","YOUNGTOWN",47952.1,0,21,0,3904,165,40,0,6,44173,23528,20072,2898,772,8061,854,582,0,105076,1
2058,28,"Alabama","MENTONE",53902.6,0,447,0,5232,759,66,21,46,38235,10563,20905,3137,2112,28808,2624,808,19,113782,1
2059,27,"Alabama","CARROLLTON",32598,0,1044,0,2841,51,0,0,0,21310,12288,11032,7444,602,4028,1448,10520,152,72760,1
2060,27,"Alabama","HOLT",42480.5,0,4132,0,2161,25,0,6,201,23564,25875,14140,12096,6123,1098,398,1318,22,91159,1
2061,28,"Alabama","ODENVILLE",46215.5,0,861,0,4516,358,35,0,346,45640,9734,5741,3270,3615,22691,2605,1284,7,100703,1
2062,28,"Alabama","BORDEN SPRNG",40167.1,0,331,0,3205,263,0,0,507,33020,25876,992,7057,12564,3315,0,1057,0,88187,1
2063,27,"Alabama","ROCK CHAPEL",47328.9,0,2574,0,4839,79,11,0,0,17346,10596,9357,7948,2228,45637,797,4338,349,106099,1
2064,28,"Alabama","NIXBURG",44063.2,0,325,0,4163,120,25,0,127,44103,33638,838,2388,7032,3526,0,1472,0,97757,1
2065,27,"Alabama","CALEBEE",42561.1,0,746,0,4815,311,20,0,0,10417,12151,12160,7781,810,20009,7305,17662,1362,95549,1
2066,27,"Alabama","APPLETON",48905.1,0,316,0,3188,500,11,0,898,3299,48502,6273,9665,17054,5193,9293,5577,333,110102,1
2067,27,"Alabama","MT. GILEAD",51129,0,1393,0,5737,782,116,0,73,19298,31157,17256,12470,2121,16907,4967,1455,103,113835,1
2068,27,"Alabama","MADRID",42572.5,0,944,0,5491,382,17,0,0,5179,18899,1119,14061,1049,18690,23831,7481,225,97368,1
2069,27,"Alabama","GEORGETOWN",38479.4,0,532,0,4312,398,93,5,33,14,22287,5478,18683,5086,10563,10098,9701,362,87645,1
2070,27,"Alabama","BON SECOUR",38637.2,0,1258,0,6554,1315,94,17,707,5,17368,122,1873,4034,14996,21169,15000,1328,85840,1
2071,24,"Alabama","WHEELER DAM",37331.3,0,3268,0,3198,145,88,0,110,5755,1158,1325,4885,1312,24348,28679,6640,27,80938,1
2072,24,"Alabama","ELKMONT",39658.1,0,286,0,4469,263,119,28,45,28068,2538,5347,3974,1265,33851,6337,2475,14,89079,1
2073,28,"Alabama","WOODVILLE",41350.3,0,217,0,3128,445,76,0,95,59592,367,1508,3912,1725,19650,1877,259,0,92851,1
2102,24,"Alabama","COURTLAND",46160,0,619,0,4103,250,74,0,165,31279,6833,8776,7850,3998,26823,4279,4225,6,99280,1
2105,28,"Alabama","BROOKSVILLE",41326.3,0,301,0,3515,906,184,64,377,29303,5251,5317,5545,2798,34283,4753,356,33,92986,1
2109,28,"Alabama","LAKEVIEW",41067.7,0,190,0,5106,1142,410,22,16,15455,3509,9748,3060,1051,41523,12653,357,0,94242,1
2111,28,"Alabama","CHOCCOLOCCO",40479.5,0,1069,0,5081,430,56,0,114,29319,13278,4458,2177,4106,24014,4012,436,0,88550,1
2137,27,"Alabama","LATHAM II",46820.5,0,91,0,2907,256,10,0,37,2271,53416,7084,12612,5832,3093,6851,9902,185,104547,1
2140,27,"Alabama","ALABAMA PORT",38662.2,0,22710,0,5679,2193,608,167,672,9,18278,12,3126,1711,8869,330,15101,7711,87176,1
2141,27,"Alabama","ALABAMA PT 2",42838.2,0,19438,0,10216,9377,4286,1060,4832,15,11073,53,2300,2868,3642,6435,10088,3775,89458,1
2142,27,"Alabama","ELBERTA",39443.4,0,73,0,6281,685,104,16,211,13,26077,192,9026,5526,7044,24035,10160,330,89773,1
2156,28,"Alabama","KYMULGA",46162.6,0,1419,0,4601,496,65,22,170,19949,20696,5122,3221,11877,17976,9562,3987,7,99170,1
2162,28,"Alabama","BORDEN SPRINGS II",39287.7,0,145,0,2543,235,11,0,3,32703,33930,7814,1017,1514,3674,1779,261,0,85629,1
2164,28,"Alabama","NIXBURG 2",48665.3,0,332,0,4559,120,25,0,136,48885,36397,1226,2523,7464,3640,0,1521,0,106828,1
2201,27,"Alabama","VINA",40307.9,0,120,0,3429,766,125,20,0,34031,9905,2951,17517,7081,10335,1385,881,171,88717,1
2203,24,"Alabama","CARTER GROVE",49362.5,0,1912,0,11549,7372,1405,337,57,12820,5992,2720,7329,2018,24866,24820,7513,23,110733,1
2204,28,"Alabama","STEVENSON",44896.5,0,5650,0,5680,2931,1013,850,97,21951,4684,6807,5127,3389,26824,8696,5041,185,98925,1
2205,27,"Alabama","VERNON",44838.8,0,141,0,5114,580,145,40,177,38104,8845,13598,14714,898,7031,1419,8500,94,99400,1
2206,28,"Alabama","JASPER",48351.1,0,512,0,5216,445,268,29,206,25412,17843,13823,8474,4167,25879,1677,3357,23,107331,1
2207,28,"Alabama","ONEONTA",39705.8,0,1171,0,4386,974,236,14,386,28190,9470,4742,4708,5935,17635,4435,1119,0,83401,1
2208,28,"Alabama","TALLADEGA",57196.5,0,2373,0,7158,560,62,0,348,31232,17846,5506,2963,9062,26845,18571,2940,65,125531,1
2209,29,"Alabama","WEDOWEE",49936.3,0,343,0,4360,1414,254,67,387,39266,21948,303,4050,10705,24308,0,319,0,107724,1
2210,27,"Alabama","GASTONBURG",53807.3,0,3191,0,5923,1505,278,69,0,16389,17766,7076,14175,2980,33433,5499,10366,1465,120115,1
2211,27,"Alabama","AUTAUGAVILLE",45302,0,1124,0,4283,493,72,0,790,12933,12732,13108,11700,996,17808,7067,14448,207,97761,1
2212,27,"Alabama","SEALE",48881.8,0,1057,0,7079,1483,180,11,20,25320,24665,10016,19069,1422,8715,5246,4081,81,108445,1
2213,27,"Alabama","CITRONELLE",53159,0,348,0,5872,111,33,0,20,6283,35559,29164,18691,4925,7070,718,9881,392,119067,1
2214,27,"Alabama","CLAIBORNE",74832,0,707,0,7143,1029,68,16,141,25612,40260,14913,13326,11039,17440,25662,6594,556,164506,1
2215,27,"Alabama","HELICON",69052,0,608,0,9944,3127,998,530,129,50471,26841,9332,18847,5011,12712,3907,9916,31,152404,1
2216,27,"Alabama","EUFAULA",35388,0,498,0,3576,542,97,8,141,11401,19938,14033,15362,1981,4965,8700,187,66,81495,1
2217,27,"Alabama","ST. ELMO",45497.9,0,397,0,6980,640,237,23,198,5,8343,137,13979,5409,35361,9459,17463,567,99198,1
2218,27,"Alabama","BAY MINETTE",37593.1,0,272,0,4753,330,75,51,54,35,31189,484,10408,9297,8606,10727,8591,617,85489,1
2306,28,"Alabama","DRUMMOND",49838.8,0,620,0,5228,412,254,29,215,25142,19448,13889,8975,4571,25866,1646,3423,23,109741,1
2750,24,"Alabama","TRIANA",38259.6,0,20355,0,2038,547,119,5,200,19259,4830,2801,4307,1139,6499,16157,9738,104,88098,1
2751,28,"Alabama","RIVERSIDE",39702,0,15926,0,3548,469,44,0,1807,28953,10306,4182,2225,5910,10583,2334,3057,35,89379,1
2752,27,"Alabama","SPROTT-CAHABA RIV",10341.5,0,796,0,566,8,0,0,79,2463,4438,2055,718,437,2452,2411,6203,134,22760,1
2753,27,"Alabama","GAINESTOWN FERRY",38875.9,0,9992,0,406,0,0,0,625,8987,6091,2134,4075,2139,1189,295,51673,1628,89234,1
2754,27,"Alabama","CHACALOOCHEE BAY",45667.7,0,20927,0,479,25,0,0,1176,0,214,0,47,0,0,0,61324,11018,95210,1
6001,16,"Arizona","MT TRUMBULL",39531,0,0,0,38,22,0,0,174,0,24,0,58301,30037,0,0,0,43,88639,1
6002,16,"Arizona","HOUSE ROCK",43122.6,0,0,0,173,0,0,0,771,0,21945,0,59172,12917,0,0,5,0,94983,1
6003,16,"Arizona","THE GAP",38323,0,5,0,4381,854,13,0,606,0,37,0,70745,9985,0,0,0,0,86626,1
6004,16,"Arizona","BLACK MESA",48444.9,0,108,0,390,21,5,0,1927,0,16304,0,67196,20534,0,0,0,0,106485,1
6005,16,"Arizona","ROUND ROCK",40135.4,0,253,0,2989,341,30,0,177,0,13394,0,54055,19533,131,22,9,439,91373,1
6006,33,"Arizona","SQUAW PEAK",35375.9,0,0,0,641,47,0,0,75,0,0,0,72843,4432,0,0,0,0,78038,1
6007,16,"Arizona","YAMPAI",53597.2,0,7,0,520,0,0,0,0,0,6614,0,69776,8529,0,0,0,0,85446,1
6008,16,"Arizona","ROSE WELLS",36975.6,0,5,0,0,0,0,0,8,0,3327,0,80091,185,0,0,0,0,83616,1
6009,34,"Arizona","FLAGSTAFF",41069.8,0,0,0,1738,1118,509,36,378,454,53757,0,1071,27290,0,0,0,0,86351,1
6010,16,"Arizona","ORAIBI",39988.6,0,14,0,3000,44,15,0,2366,0,0,0,67008,18058,0,0,641,269,91415,1
6011,16,"Arizona","SAWMILL",41400.4,0,0,0,775,17,7,0,25,0,77387,0,14722,845,0,0,0,0,93778,1
6012,33,"Arizona","OATMAN",39724.5,0,25,0,2134,3491,125,0,664,0,0,0,78531,0,0,0,0,0,84970,1
6013,33,"Arizona","WIKIEUP",39616.9,0,0,0,1290,0,0,0,0,0,0,0,69045,18712,0,0,23,0,89070,1
6014,34,"Arizona","PRESCOTT",40420.5,0,370,0,8296,8654,4924,861,5,0,47429,0,13822,139,0,0,37,121,84658,1
6015,34,"Arizona","MORMON LAKE",44980.7,0,1482,0,582,0,0,0,38,0,58063,0,34494,3332,0,0,0,949,98940,1
6016,34,"Arizona","ZENIFF",39681.2,0,399,0,4836,134,0,0,19,0,16501,0,52101,14133,829,1919,0,0,90871,1
6017,16,"Arizona","HUNT",52161.7,0,0,0,1557,657,5,0,0,0,42,0,107407,4628,311,406,113,0,115126,1
6018,33,"Arizona","QUARTZSITE",39534.4,0,0,0,1113,1714,41,43,0,0,0,0,85843,99,0,0,0,0,88853,1
6019,33,"Arizona","VICKSBURG",40928,0,0,0,3163,1820,96,19,1818,0,0,0,72065,1450,7844,3045,141,0,91461,1
6020,33,"Arizona","NEW RIVER",38211.2,0,107,0,7549,2630,346,0,17,0,0,0,72133,3360,0,0,40,0,86182,1
6021,33,"Arizona","FLORENCE",39796.2,0,1149,0,2373,3097,1054,268,60,0,0,0,68244,34,0,11019,422,0,87720,1
6022,34,"Arizona","AZTEC PEAK",39554,0,540,0,0,0,0,0,121,0,36089,0,41165,5215,0,0,107,92,83329,1
6023,34,"Arizona","BLUE",39109.8,0,0,0,180,0,0,0,30,0,70175,0,3328,6987,0,0,111,167,80978,1
6024,33,"Arizona","LAGUNA",44699.7,0,1145,0,4221,1249,90,14,782,37,0,0,34994,239,2243,50217,2320,1066,98617,1
6025,33,"Arizona","DATELAND",41328.6,0,14,0,2746,667,5,0,282,49,0,0,58382,2436,4669,24516,565,75,94406,1
6026,33,"Arizona","AJO",42781,0,189,0,3456,3902,1136,64,5139,0,0,0,80919,167,0,0,698,0,95670,1
6027,33,"Arizona","COOLIDGE",37954.2,0,785,0,4627,1112,80,0,5,0,0,0,29673,455,366,48325,318,0,85746,1
6028,34,"Arizona","POMERENE",45002.7,0,17,0,3415,292,0,0,50,0,26,8,80535,18,54,5951,9161,344,99871,1
6029,34,"Arizona","SAN SIMON",41460.7,0,0,0,51,0,0,0,0,0,36,0,92150,0,17,136,835,0,93225,1
6030,33,"Arizona","LUKEVILLE",41848.3,16975,0,0,2221,1282,11,0,0,0,0,0,71852,0,0,0,16,0,92357,1
6031,34,"Arizona","PENA BLANCA",43736,0,70,0,2499,10,0,0,41,0,5150,0,83218,0,168,124,147,453,91880,1
6032,34,"Arizona","PATAGONIA",44507.7,0,7,0,1362,292,13,0,0,0,14802,5,75911,1925,1330,156,269,185,96257,1
6033,34,"Arizona","SUNIZONA",40670.7,0,16,0,1574,0,0,0,0,0,10243,60,67963,4265,84,5992,109,0,90306,1
6051,16,"Arizona","TOROWEAP",28328.8,0,0,0,0,0,0,0,341,0,1568,0,58121,4491,0,0,0,0,64521,1
6052,16,"Arizona","DRY PARK",35526.2,0,0,0,510,22,0,0,0,878,65073,0,132,9626,0,0,0,0,76241,1
6053,16,"Arizona","PAGE",35178.6,0,0,0,3604,1405,1276,7,7047,0,12,0,43216,23637,0,0,0,0,80204,1
6054,16,"Arizona","COW SPRINGS",37691.1,0,114,0,473,0,0,0,2518,0,2817,0,64410,15827,13,0,155,5,86332,1
6055,16,"Arizona","MANY FARMS",40327.4,0,13,0,275,0,0,0,1945,0,6,0,72899,15444,0,0,0,0,90582,1
6056,33,"Arizona","RIVIERA",40848,0,296,0,2387,1914,2301,570,2808,11,0,21,75956,30,0,0,27,0,86321,1
6057,33,"Arizona","ANTARES",27069.6,0,0,0,4956,722,0,0,3792,0,0,0,49140,3626,0,0,0,0,62236,1
6058,34,"Arizona","WILLIAMS",46684.7,0,225,0,3033,1654,697,127,47,0,77296,0,12665,7128,0,0,0,27,102899,1
6059,34,"Arizona","MAINE",43777.5,0,126,0,736,478,49,0,9,0,54466,0,23784,18001,0,0,0,5,97654,1
6060,16,"Arizona","CASTLE BUTTE",41329.5,0,7,0,1238,485,49,0,1436,0,4962,0,82100,3363,0,0,14,0,93654,1
6061,16,"Arizona","GREASEWOOD",40367.7,0,18,0,3451,202,36,0,3718,0,235,0,66483,17968,0,0,0,69,92180,1
6063,33,"Arizona","ALAMO RES.",39043.5,0,717,0,2162,439,0,0,6,0,0,0,84491,618,0,0,14,0,88447,1
6064,34,"Arizona","SKULL VALLEY",42280.9,0,0,0,1054,34,0,0,0,0,3983,0,82447,2034,1743,0,270,734,92299,1
6065,34,"Arizona","TONTO VILL.",46810.5,0,0,0,703,39,0,0,9,0,87239,0,11634,87,0,0,0,0,99711,1
6066,34,"Arizona","FOREST LAKES",63269.6,0,25,0,4671,0,0,0,25,0,91725,0,26712,13488,0,0,34,0,136680,1
6067,34,"Arizona","PINETOP",41743.2,0,50,0,2119,222,0,0,7,0,79892,0,8604,1942,0,0,19,48,92903,1
6068,33,"Arizona","CIBOLA LAKE",43632.4,0,1241,0,2014,836,6,0,1089,158,0,0,75890,1419,10345,0,3540,542,97080,1
6069,33,"Arizona","GILA BEND",45079.4,0,0,0,92,0,0,0,0,0,0,0,92348,7285,51,0,0,0,99776,1
6070,33,"Arizona","PALO VERDE",36870.5,0,51,0,3174,1254,75,0,14,0,0,0,44619,226,329,25709,5919,226,81596,1
6071,34,"Arizona","BARTLETT RES",45887.9,0,977,0,2400,453,19,0,0,0,34,0,93258,0,0,0,356,39,97536,1
6072,34,"Arizona","CUTTER",38063.3,0,734,0,2614,538,39,18,76,0,0,0,80802,117,0,0,32,0,84970,1
6073,34,"Arizona","ALPINE",39071.9,0,1077,0,351,47,7,0,54,204,59162,0,437,22933,0,0,0,444,84716,1
6074,33,"Arizona","ARABY",54642,0,2712,0,9083,5261,1649,192,375,137,0,0,25253,245,2969,65936,3418,1527,118757,1
6076,33,"Arizona","PISINIMO",43380.6,0,0,0,117,0,0,0,292,0,0,0,97604,0,0,0,368,0,98381,1
6077,33,"Arizona","RED ROCK",45664.8,0,32,0,3876,345,0,0,5884,0,0,0,81905,262,0,6021,2294,0,100619,1
6078,34,"Arizona","REDINGTON",35812,0,14,0,842,57,0,0,31,0,151,0,71371,6,397,1005,4629,14,78517,1
6079,34,"Arizona","MT. GRAHAM",35960.4,0,31,0,0,0,0,0,31,472,55156,0,3854,1283,0,0,6,19,60852,1
6080,33,"Arizona","CABEZA PRIET",40929.5,0,0,0,0,0,0,0,15,0,0,0,88746,0,0,0,0,0,88761,1
6081,34,"Arizona","AMADO",45558,0,6,0,3400,70,0,0,0,0,0,0,91329,0,2247,792,1658,1096,100598,1
6082,34,"Arizona","SAHUARITA",47943,0,0,0,1168,61,0,17,0,0,2385,0,95360,2208,0,3015,16,0,104230,1
6083,34,"Arizona","MCNEAL",51553.3,0,0,0,3722,77,8,0,52,0,457,0,105524,905,1419,2363,0,0,114527,1
6101,16,"Arizona","NAVAJO TRAIL",53331.3,0,0,0,0,0,0,0,2720,0,208,0,88032,26578,142,0,0,0,117680,1
6103,16,"Arizona","KAIBITO",40764.1,0,0,0,720,34,6,0,2921,0,21,0,72544,16128,0,0,6,0,92380,1
6105,16,"Arizona","TSAILE",35033.2,0,0,0,150,0,0,0,78,715,62904,0,10598,1324,0,0,6,14,75789,1
6106,33,"Arizona","WILLOW BEACH",41889.6,0,472,0,2559,1188,21,0,6146,0,11,0,83790,0,0,0,13,0,94200,1
6107,16,"Arizona","PEACH SPRING",40553.1,0,0,0,3652,1047,51,8,31,0,451,0,82319,4924,0,0,403,16,92902,1
6108,16,"Arizona","SELIGMAN",40509.9,0,0,0,3922,1467,144,19,133,0,1407,0,75100,9473,0,0,5,132,91802,1
6115,34,"Arizona","HAPPY JACK",39562.8,0,0,0,2937,18,0,0,13,0,77985,0,1873,6691,0,0,0,0,89517,1
6116,34,"Arizona","CLAY SPRING",41683.3,0,0,0,1035,0,0,0,0,0,4751,0,65786,17328,684,3429,0,0,93013,1
6119,33,"Arizona","HOPE",53485.7,0,0,0,2628,1748,96,19,1444,0,0,0,105263,1445,4057,2502,131,0,119333,1
6121,33,"Arizona","CASA GRANDE",44915.1,0,1104,0,2721,1380,397,212,52,0,0,0,79678,46,0,10320,350,0,96260,1
6122,34,"Arizona","CARR MTN",41534.2,0,642,0,201,0,0,0,121,0,22355,5,64445,0,55,0,236,119,88179,1
6123,34,"Arizona","SPRUCEDALE",39563.6,0,0,0,180,0,0,0,30,0,72595,0,3316,6992,0,0,112,114,83339,1
6126,33,"Arizona","AJO 2",40639.1,0,189,0,2166,4246,1181,69,5114,0,0,0,78232,0,0,0,56,0,91253,1
6127,33,"Arizona","CATUS FOREST",40202.3,0,283,0,5282,1213,15,14,0,0,0,0,32441,68,566,50056,458,0,90396,1
6130,33,"Arizona","ORGAN PIPE",45882.2,15953,0,0,2518,1407,11,0,0,0,0,0,81267,0,0,0,16,0,101172,1
6133,34,"Arizona","PORTAL",38643,0,0,0,2241,7,0,0,0,0,34898,10882,29074,41,46,0,65,0,77254,1
6161,16,"Arizona","KLAGETOH",51689.2,0,0,0,353,15,0,0,158,0,40685,0,57312,18084,0,0,0,0,116607,1
6176,33,"Arizona","BATES WELL",47108.9,0,0,0,5,278,17,0,1943,0,0,0,103520,0,0,0,39,0,105802,1
6206,33,"Arizona","WILLOW BEACH 2",46157.6,0,470,0,2749,1292,21,0,6174,0,11,0,92678,0,0,0,14,0,103409,1
6900,34,"Arizona","DRAGOON",38502.1,0,5,0,1429,10,0,0,21,0,8229,211,68975,3453,0,0,0,0,82333,1
6901,34,"Arizona","RUCKER",39037,0,0,0,262,0,0,0,31,0,37086,1656,40706,5065,0,0,0,0,84806,1
7001,25,"Arkansas","OLD MILO",40152.9,0,806,0,1664,8130,1169,681,40,2765,42470,3303,13107,1737,6262,80,6465,48,88727,1
7002,26,"Arkansas","EUDORA",40890.9,0,3537,0,4837,179,26,7,0,118,6587,1939,820,0,1372,57228,12133,334,89117,1
7003,25,"Arkansas","RAMSEY",37680.6,0,38,0,959,2468,18,0,20,5195,48173,1259,12563,127,2787,118,8024,16,81765,1
7004,25,"Arkansas","LOCUST BAYOU",39981.8,0,253,0,2562,4940,389,77,0,1452,49113,2469,9637,249,5878,342,9410,15,86786,1
7005,25,"Arkansas","STAMPS",40703.1,0,1729,0,4323,3109,337,112,24,11620,42007,3977,9180,4451,8437,416,1140,127,90989,1
7006,25,"Arkansas","HOPE",40795.3,0,807,0,3694,2373,251,36,29,19557,21598,3803,10881,2153,19733,1110,4188,148,90361,1
7007,25,"Arkansas","ASHDOWN",38819.5,0,94,0,3955,432,51,0,0,20502,22595,1322,406,3521,23746,5026,4719,126,86495,1
7008,26,"Arkansas","HUGHES",40113,0,5684,0,5514,154,27,0,39,564,12,440,5,555,313,62758,13387,70,89522,1
7009,26,"Arkansas","WEST TYLER",42874,0,4754,0,4467,196,0,7,11,918,129,987,0,0,13,78379,5333,225,95419,1
