"RT..NO.","BCR","State","RT..NAME","Patch.Density","Largest.Patch.Index","Aggregation.Index","km"
2001,27,"Alabama","ST FLORIAN",18.89,8.42,77.18,2
2002,24,"Alabama","HILLSBORO",21.59,8.34,74.05,2
2004,28,"Alabama","TRADE",23.11,7.6,72.57,2
2005,28,"Alabama","SUMMITT",22.88,6.3,73.99,2
2006,24,"Alabama","VALHRMSA SPG",21.51,5.72,75.52,2
2007,24,"Alabama","SWAIM",13.19,9.39,83.14,2
2008,28,"Alabama","PINE GROVE",22.94,6.65,75.21,2
2009,28,"Alabama","DAWSON",20.13,5.82,75.68,2
2010,29,"Alabama","MILLERVILLE",16.51,9.87,77.8,2
2011,28,"Alabama","DEARMANVILLE",22.45,7.06,74.66,2
2012,28,"Alabama","SUNNY EVE",11.62,27.99,80.32,2
2013,28,"Alabama","GREENSPORT",23.99,6.39,73.62,2
2014,28,"Alabama","SMYER LAKE",23.98,12.36,73.27,2
2015,28,"Alabama","MT OLIVE",24.65,3.94,72.88,2
2016,27,"Alabama","HOWARD",28.66,2.12,69.03,2
2017,28,"Alabama","MAYTOWN",26.02,8.02,71.48,2
2019,27,"Alabama","LIBERTY",22.85,6.27,73.86,2
2020,27,"Alabama","RIDERWOOD",23.46,2.06,72.75,2
2021,27,"Alabama","LINDEN",22.51,3.02,72.82,2
2022,27,"Alabama","HARRELL",21.71,3.17,74.81,2
2023,27,"Alabama","GREENSBORO",21.39,5.3,73.17,2
2024,27,"Alabama","SPRAGUE",25.35,3.45,70.7,2
2025,27,"Alabama","BILLINGSLEY",24,12.34,72.36,2
2026,27,"Alabama","WALLSBORO",26.23,4.69,70.89,2
2027,27,"Alabama","WARRIOR STD",26.39,3.74,69.28,2
2028,29,"Alabama","LANETT",19.28,4.04,75.65,2
2029,27,"Alabama","COTTONTON",29.16,1.83,69.04,2
2030,27,"Alabama","NEWTON",23.96,2.88,72.52,2
2031,27,"Alabama","GRANGEBURG",25.61,2.12,72.87,2
2032,27,"Alabama","BRUNDIDGE",29.65,2.26,68.08,2
2033,27,"Alabama","BRANTLEY",26.38,9.22,71.13,2
2034,27,"Alabama","SOUTH",22.2,4.11,73.42,2
2035,27,"Alabama","MCLELLAN",15.8,24.7,79.17,2
2036,27,"Alabama","BEATRICE",23.59,5,73.38,2
2037,27,"Alabama","LATHAM",22.05,8.48,73.24,2
2038,27,"Alabama","CASTLEBERRY",21.18,9.25,74.52,2
2039,27,"Alabama","MILLRY",24.23,1.53,71.31,2
2040,27,"Alabama","DAUPHIN IS",11.78,35.13,84.58,2
2041,27,"Alabama","ALABAMA PT",10.46,20.12,86.25,2
2042,27,"Alabama","FOLEY",16.06,3.61,79.85,2
2043,27,"Alabama","BLOCTON",23.86,7.78,73.34,2
2044,28,"Alabama","BIRMINGHAM",18.04,19.76,73.52,2
2045,27,"Alabama","WHITEHOUSE",24.06,6.04,72.98,2
2046,28,"Alabama","GUNTERSVILLE",19.53,8.86,79.17,2
2047,27,"Alabama","JENA",21.05,11.12,75.51,2
2048,27,"Alabama","EPES",23.34,1.85,73.49,2
2049,27,"Alabama","WEDGEWORTH",22.35,5.56,73.85,2
2050,27,"Alabama","WHITEHALL",23.3,2.9,73.28,2
2051,28,"Alabama","LIBERTY CITY",17.9,8.16,76.52,2
2052,27,"Alabama","ESCATAWPA",20.57,4.12,73.89,2
2053,27,"Alabama","GROVE HILL",22.31,11.87,73.45,2
2054,27,"Alabama","FAIRVIEW",27.38,2.75,70.7,2
2055,27,"Alabama","ELAMVILLE",26.75,2.73,70.49,2
2056,28,"Alabama","CHILDERSBURG",29.32,3.29,70.5,2
2057,28,"Alabama","YOUNGTOWN",22.3,22.73,69.79,2
2058,28,"Alabama","MENTONE",21.41,4.8,73.57,2
2059,27,"Alabama","CARROLLTON",19.24,9.85,74.4,2
2060,27,"Alabama","HOLT",26.23,2.81,69.76,2
2061,28,"Alabama","ODENVILLE",21.09,13.78,76.41,2
2062,28,"Alabama","BORDEN SPRNG",17.19,7.66,75.94,2
2063,27,"Alabama","ROCK CHAPEL",20.44,3.89,77.06,2
2064,28,"Alabama","NIXBURG",14.17,11.9,78.63,2
2065,27,"Alabama","CALEBEE",25.04,4.02,71.17,2
2066,27,"Alabama","APPLETON",18.58,9.07,76.66,2
2067,27,"Alabama","MT. GILEAD",27.57,1.27,69.75,2
2068,27,"Alabama","MADRID",26.77,1.44,71.69,2
2069,27,"Alabama","GEORGETOWN",21.81,2.04,74.13,2
2070,27,"Alabama","BON SECOUR",15.85,4.47,80.41,2
2071,24,"Alabama","WHEELER DAM",17.77,9.01,77.08,2
2072,24,"Alabama","ELKMONT",19.79,3.67,74.37,2
2073,28,"Alabama","WOODVILLE",8.67,40.84,87.83,2
2102,24,"Alabama","COURTLAND",21.72,7.25,73.31,2
2105,28,"Alabama","BROOKSVILLE",20.02,11.22,76.71,2
2109,28,"Alabama","LAKEVIEW",21.04,5.67,74.72,2
2111,28,"Alabama","CHOCCOLOCCO",20.58,6.58,75.72,2
2137,27,"Alabama","LATHAM II",15.76,13.84,78.32,2
2140,27,"Alabama","ALABAMA PORT",11.4,27.57,84.08,2
2141,27,"Alabama","ALABAMA PT 2",15.07,20.13,80.93,2
2142,27,"Alabama","ELBERTA",14.57,10.84,80.53,2
2156,28,"Alabama","KYMULGA",27.55,2.85,71.13,2
2162,28,"Alabama","BORDEN SPRINGS II",15.1,27.82,75.68,2
2164,28,"Alabama","NIXBURG 2",13.84,11.05,78.76,2
2201,27,"Alabama","VINA",19.69,2.43,75.65,2
2203,24,"Alabama","CARTER GROVE",21.69,4.62,75.12,2
2204,28,"Alabama","STEVENSON",24.43,3.91,74.09,2
2205,27,"Alabama","VERNON",23.31,4.53,73.19,2
2206,28,"Alabama","JASPER",29.14,1.62,68.75,2
2207,28,"Alabama","ONEONTA",27,3.68,71.1,2
2208,28,"Alabama","TALLADEGA",22.88,9.03,74.13,2
2209,29,"Alabama","WEDOWEE",18.91,4.59,76.36,2
2210,27,"Alabama","GASTONBURG",23.39,3.05,73.55,2
2211,27,"Alabama","AUTAUGAVILLE",22.33,3.52,73.46,2
2212,27,"Alabama","SEALE",26.62,4.5,70.76,2
2213,27,"Alabama","CITRONELLE",25.13,2.41,69.3,2
2214,27,"Alabama","CLAIBORNE",22.24,4.54,73.76,2
2215,27,"Alabama","HELICON",23.75,2,72.26,2
2216,27,"Alabama","EUFAULA",27.18,1.08,68.63,2
2217,27,"Alabama","ST. ELMO",18.73,1.58,76.82,2
2218,27,"Alabama","BAY MINETTE",14.46,8.57,79.1,2
2306,28,"Alabama","DRUMMOND",28.84,1.59,68.87,2
2750,24,"Alabama","TRIANA",21.77,6.61,76.29,2
2751,28,"Alabama","RIVERSIDE",25.9,7.73,72.34,2
2752,27,"Alabama","SPROTT-CAHABA RIV",21.11,7.44,75.37,2
2753,27,"Alabama","GAINESTOWN FERRY",12.91,10.75,83.01,2
2754,27,"Alabama","CHACALOOCHEE BAY",2.95,22.56,91.33,2
6001,16,"Arizona","MT TRUMBULL",4.3,40.44,88.3,2
6002,16,"Arizona","HOUSE ROCK",7.51,50.11,84.76,2
6003,16,"Arizona","THE GAP",8.65,38.15,84.26,2
6004,16,"Arizona","BLACK MESA",14.11,44.8,73.23,2
6005,16,"Arizona","ROUND ROCK",7.84,25.25,82.46,2
6006,33,"Arizona","SQUAW PEAK",1.6,92.87,95.67,2
6007,16,"Arizona","YAMPAI",2.1,76.46,94.5,2
6008,16,"Arizona","ROSE WELLS",1.38,94.04,97.3,2
6009,34,"Arizona","FLAGSTAFF",6.35,38.77,88.07,2
6010,16,"Arizona","ORAIBI",6.21,33.68,83.71,2
6011,16,"Arizona","SAWMILL",4.81,80.43,92.06,2
6012,33,"Arizona","OATMAN",2.44,90.44,96.35,2
6013,33,"Arizona","WIKIEUP",4.93,47.01,86.25,2
6014,34,"Arizona","PRESCOTT",10.4,52.16,84.87,2
6015,34,"Arizona","MORMON LAKE",3.56,26.92,91.67,2
6016,34,"Arizona","ZENIFF",12.28,35.28,76.81,2
6017,16,"Arizona","HUNT",2.75,75.46,95.27,2
6018,33,"Arizona","QUARTZSITE",1.47,95.63,97.61,2
6019,33,"Arizona","VICKSBURG",4.2,56.34,89.92,2
6020,33,"Arizona","NEW RIVER",4.41,34.45,89.78,2
6021,33,"Arizona","FLORENCE",3.1,51.44,93.71,2
6022,34,"Arizona","AZTEC PEAK",2.01,46.85,96.08,2
6023,34,"Arizona","BLUE",2.8,88.99,95.21,2
6024,33,"Arizona","LAGUNA",6.2,22.51,89.32,2
6025,33,"Arizona","DATELAND",4.31,48.87,91.16,2
6026,33,"Arizona","AJO",1.72,77.02,95.77,2
6027,33,"Arizona","COOLIDGE",3.78,18.13,90.16,2
6028,34,"Arizona","POMERENE",1.69,69.5,94.65,2
6029,34,"Arizona","SAN SIMON",0.33,98.35,99.05,2
6030,33,"Arizona","LUKEVILLE",0.5,75.06,98.28,2
6031,34,"Arizona","PENA BLANCA",2.95,89.55,94.23,2
6032,34,"Arizona","PATAGONIA",4.51,75.88,89.27,2
6033,34,"Arizona","SUNIZONA",2.9,70.57,92.99,2
6051,16,"Arizona","TOROWEAP",3.2,87.83,93.83,2
6052,16,"Arizona","DRY PARK",3.72,85.41,93.09,2
6053,16,"Arizona","PAGE",7.66,20.86,83.71,2
6054,16,"Arizona","COW SPRINGS",9.88,44.35,79.41,2
6055,16,"Arizona","MANY FARMS",5.87,50.73,83.92,2
6056,33,"Arizona","RIVIERA",3.63,87.64,93.15,2
6057,33,"Arizona","ANTARES",5.86,79.08,85.85,2
6058,34,"Arizona","WILLIAMS",4.44,57.61,92.45,2
6059,34,"Arizona","MAINE",4.71,31.76,90.1,2
6060,16,"Arizona","CASTLE BUTTE",5.87,55.23,89.4,2
6061,16,"Arizona","GREASEWOOD",9.65,39.77,79.26,2
6063,33,"Arizona","ALAMO RES.",1.29,96.2,97.74,2
6064,34,"Arizona","SKULL VALLEY",3.62,89.2,92.7,2
6065,34,"Arizona","TONTO VILL.",2.72,85.69,94.26,2
6066,34,"Arizona","FOREST LAKES",5.99,32.66,86.61,2
6067,34,"Arizona","PINETOP",3.54,78.96,92.83,2
6068,33,"Arizona","CIBOLA LAKE",5.44,73.52,90.92,2
6069,33,"Arizona","GILA BEND",2.83,92.98,93.95,2
6070,33,"Arizona","PALO VERDE",3.9,41.75,91.15,2
6071,34,"Arizona","BARTLETT RES",1.34,93.11,97.13,2
6072,34,"Arizona","CUTTER",0.91,70.51,97.87,2
6073,34,"Arizona","ALPINE",2.6,66.78,94.48,2
6074,33,"Arizona","ARABY",7.48,17.21,86.75,2
6076,33,"Arizona","PISINIMO",0.7,98.94,98.87,2
6077,33,"Arizona","RED ROCK",1.72,68.48,94.26,2
6078,34,"Arizona","REDINGTON",0.8,94.2,97.7,2
6079,34,"Arizona","MT. GRAHAM",4.14,88.41,93.78,2
6080,33,"Arizona","CABEZA PRIET",0.01,99.99,99.75,2
6081,34,"Arizona","AMADO",1.2,93.22,96.18,2
6082,34,"Arizona","SAHUARITA",2.06,88.3,95.58,2
6083,34,"Arizona","MCNEAL",1.78,51.51,95.56,2
6101,16,"Arizona","NAVAJO TRAIL",4.01,57.9,90.51,2
6103,16,"Arizona","KAIBITO",7.57,66.66,84.56,2
6105,16,"Arizona","TSAILE",6.93,76.41,89.14,2
6106,33,"Arizona","WILLOW BEACH",2.74,30.42,93.47,2
6107,16,"Arizona","PEACH SPRING",3.11,91.46,94.18,2
6108,16,"Arizona","SELIGMAN",3.47,64.41,92.42,2
6115,34,"Arizona","HAPPY JACK",4.2,89.39,93.61,2
6116,34,"Arizona","CLAY SPRING",7.94,30.69,81.85,2
6119,33,"Arizona","HOPE",2.77,26.23,93.57,2
6121,33,"Arizona","CASA GRANDE",2.27,82.14,94.19,2
6122,34,"Arizona","CARR MTN",1.23,69.68,97.31,2
6123,34,"Arizona","SPRUCEDALE",2.71,89.31,95.34,2
6126,33,"Arizona","AJO 2",1.76,66.7,96.19,2
6127,33,"Arizona","CATUS FOREST",3.24,22.26,91.21,2
6130,33,"Arizona","ORGAN PIPE",0.52,77.78,98.27,2
6133,34,"Arizona","PORTAL",7.05,23.27,84.99,2
6161,16,"Arizona","KLAGETOH",11.22,36.87,77.86,2
6176,33,"Arizona","BATES WELL",0.15,94.33,99.42,2
6206,33,"Arizona","WILLOW BEACH 2",2.56,32.75,93.86,2
6900,34,"Arizona","DRAGOON",4.66,80.12,91.57,2
6901,34,"Arizona","RUCKER",5.36,40.02,89.39,2
7001,25,"Arkansas","OLD MILO",18.63,8.39,77.02,2
7002,26,"Arkansas","EUDORA",4.66,18.68,88.36,2
7003,25,"Arkansas","RAMSEY",11.87,13.6,82.15,2
7004,25,"Arkansas","LOCUST BAYOU",13.33,19.56,82.56,2
7005,25,"Arkansas","STAMPS",16.07,9.71,78.47,2
7006,25,"Arkansas","HOPE",17.97,3.49,75.14,2
7007,25,"Arkansas","ASHDOWN",11.6,6.42,82.45,2
7008,26,"Arkansas","HUGHES",3.12,45.48,90.59,2
7009,26,"Arkansas","WEST TYLER",4.65,21.06,90.09,2
7010,26,"Arkansas","SOUTH BEND",2.2,26.65,91.64,2
7011,25,"Arkansas","CROWS",24.98,5.6,70.15,2
7012,25,"Arkansas","POYEN",13.03,10.43,82.41,2
7013,25,"Arkansas","HOLLYWOOD",18.13,16.86,76.99,2
7014,25,"Arkansas","BLAKELY",23.26,5.92,69.63,2
7015,25,"Arkansas","WALDRON",16.06,24.18,73.84,2
7016,26,"Arkansas","HARRISBURG",4.76,42.91,88.76,2
7017,26,"Arkansas","WHITTON",2.12,36.83,93,2
7018,26,"Arkansas","AUGUSTA",2.62,45.32,92.21,2
7019,26,"Arkansas","SAFFELL",13.73,11.83,79.48,2
7020,24,"Arkansas","RUPERT",12.31,39.87,82.7,2
7021,25,"Arkansas","STARK",19.26,12.26,75,2
7022,25,"Arkansas","COAL HILL",21.46,5.64,75.77,2
7023,24,"Arkansas","LURTON",7.84,31.2,88.24,2
7024,25,"Arkansas","MASSARD",18.78,5.84,74.83,2
7025,26,"Arkansas","MAYNARD",8.04,29.64,86.96,2
7026,24,"Arkansas","ZION",17.49,10.37,76.36,2
7027,24,"Arkansas","FULTON",15.86,13.22,77.8,2
7028,24,"Arkansas","COMPTON",4.62,63.62,91.53,2
7029,24,"Arkansas","AVOCA",14.18,6.96,79.28,2
7030,24,"Arkansas","CENTERTON",6.63,21.84,87.17,2
7031,24,"Arkansas","FARWELL",7.79,23.55,85.01,2
7032,24,"Arkansas","YELLVILLE",10.59,13.28,82.21,2
7033,24,"Arkansas","RAVENDEN SPRINGS",12.58,23.98,81.55,2
7034,26,"Arkansas","LAFE",2.3,45.81,93.86,2
7035,26,"Arkansas","DELL",1.28,22,95.28,2
7036,26,"Arkansas","HICKORY RIDGE",2.44,43.38,93.59,2
7037,24,"Arkansas","RUSSELL",16.51,6.98,76.73,2
7038,24,"Arkansas","MARSHALL",11.04,38.83,84.32,2
7039,25,"Arkansas","HAVANA",20.11,7.17,75.05,2
7040,25,"Arkansas","HATFIELD",18.7,3.35,74.13,2
7041,25,"Arkansas","SIMS",18.77,29.78,70.76,2
7042,26,"Arkansas","ENGLAND",7.75,31.28,87.11,2
7043,26,"Arkansas","GILLETT",3.02,25.31,91.45,2
7045,25,"Arkansas","LOCKESBURG",12.38,8.36,81.19,2
7046,25,"Arkansas","SPRINGHILL",18.46,5.68,75.75,2
7047,25,"Arkansas","STEPHENS",21.36,7.08,74.06,2
7048,26,"Arkansas","KELSO",1.81,27.88,93.22,2
7049,24,"Arkansas","RUDY",9.85,52.65,84.21,2
7102,26,"Arkansas","EUDORA 2",5.5,13.85,87.22,2
7103,25,"Arkansas","PRINCETON",10.82,12.91,83.5,2
7109,26,"Arkansas","ULM",4.51,19.33,90.12,2
7111,25,"Arkansas","NANCE",23.8,5.44,70.2,2
7112,25,"Arkansas","POYEN 2",13.47,10.56,82.23,2
7114,25,"Arkansas","DRY FORK",16.79,12.91,73.37,2
7117,26,"Arkansas","WILSON",1.8,36.19,93.97,2
7118,26,"Arkansas","AUGUSTA 2",2.75,45.83,92.17,2
7900,24,"Arkansas","OZARK NF",12.57,42.09,82.08,2
7901,25,"Arkansas","MAGAZINE MTN",15.97,13.58,75.91,2
7902,24,"Arkansas","BOSTON MTN.",8.79,62.38,86.12,2
7903,25,"Arkansas","FOUR LAKES",8.86,35.46,85.43,2
14001,5,"California","HORSE CREEK",11.13,13.85,83.39,2
14002,5,"California","CARRVILLE",10.02,40.82,86.47,2
14003,9,"California","NUBIEBER",6.32,12.46,85.42,2
14004,5,"California","CRESCENT CTY",15.93,7.25,80.01,2
14005,5,"California","HONEYDEW",16.94,14.82,80,2
14006,5,"California","HOLMES",12.42,37.66,83.83,2
14007,32,"California","RED BLUFF",11.62,17.26,81.05,2
14008,15,"California","LASSEN PARK",3.34,34.22,92.96,2
14009,15,"California","EAGLE LAKE",4.36,26.31,89.47,2
14010,32,"California","CALPELLA",17.91,32.88,78.15,2
14011,5,"California","HULLVILLE",14.98,19.74,78.48,2
14012,32,"California","PENNINGTON",5.26,13.49,89.44,2
14013,15,"California","WESTVILLE",7.17,51.91,88.38,2
14014,5,"California","FISH ROCK",9.48,15.19,86.82,2
14015,32,"California","RUMSEY",10.05,35.62,84.46,2
14016,32,"California","RIOVISTA",4.41,28.09,89.38,2
14017,15,"California","COTTAGE SPGS",11.92,25.7,80.63,2
14018,15,"California","DARDANELLE",8.65,13.31,84.26,2
14019,32,"California","COLMA",19.07,7.25,73.58,2
14020,32,"California","COLLEGEVILLE",9.39,16.89,86.51,2
14021,32,"California","HUGHSON",8.16,17.32,85.93,2
14022,15,"California","BASS LAKE",14.84,17.94,76.67,2
14023,9,"California","BIG PINE",2.45,41.84,95.11,2
14024,32,"California","CARUTHERS",3.45,39.03,92.28,2
14025,32,"California","TRES PINOS",10.75,37.39,83.39,2
14026,32,"California","OILFIELDS",4.24,18.39,90.2,2
14027,32,"California","GRAVESBORO",13.38,13.17,79.23,2
14028,32,"California","YOKOHL VAL",11.52,15.17,80.43,2
14029,33,"California","UBEHEBE",0.74,98.44,98.57,2
14030,33,"California","HAIWEE RES",3.21,37.57,92.19,2
14031,33,"California","WILDROSE",0.59,98.15,98.46,2
14032,32,"California","PARKFIELD",10.38,27.51,80.71,2
14033,32,"California","BAKERSFIELD",5.42,57.16,89.14,2
14034,33,"California","ONYX",8.3,16.68,80.93,2
14035,33,"California","CALIF CITY",4.89,13.74,89.08,2
14036,33,"California","GOLDSTONE",0.47,99.28,99.06,2
14037,33,"California","VALLEY WELLS",0.43,90.1,99.05,2
14038,32,"California","SANTA YNEZ",18.4,5.21,74.05,2
14039,32,"California","FOSTER PARK",17.16,6.82,73.87,2
14040,33,"California","WILLOW SPGS",5.64,60.42,86.87,2
14041,33,"California","BARSTOW",3.02,65.34,94.61,2
14042,32,"California","MT PINOS",7.92,51.17,84.79,2
14043,33,"California","CADIZ",3.61,13.85,89.14,2
14044,33,"California","PARKER DAM",5.17,44.48,91.27,2
14045,32,"California","HARBOR LAKE",14.71,23.78,77.22,2
14046,32,"California","MORENO",10.79,14.1,78.64,2
14047,32,"California","OAK GROVE",5.53,26.77,84.52,2
14048,33,"California","GLAMIS",3.4,45.27,90.82,2
14049,33,"California","PALO VERDE",8.48,7.64,80.69,2
14050,32,"California","SAN YSIDRO",15.96,31.91,78.79,2
14051,33,"California","ANZA BORREGO",6.72,17.07,86.18,2
14052,32,"California","HOLLISTER",6.55,19.74,87.07,2
14053,32,"California","COALINGA",10.27,48.72,81.63,2
14054,32,"California","ORANGE COVE",11.93,16.12,81.66,2
14055,32,"California","LAKE SUCCESS",13.25,15.75,80.33,2
14056,33,"California","DARWIN",1.13,78.34,97.49,2
14057,32,"California","MORRO BAY",13.67,10.21,78.62,2
14058,33,"California","EUREKA VAL",0.88,96.81,97.69,2
14059,33,"California","INYOKERN",1.06,47.4,97.11,2
14060,33,"California","LENWOOD",2.3,52.76,93.89,2
14061,33,"California","LANE MTN",1.46,52.18,95.58,2
14062,33,"California","IVANPAH",0.79,63.66,97.96,2
14063,33,"California","TRONA",4.22,43.97,90.59,2
14064,33,"California","TECOPA",1.7,69.21,95.8,2
14065,33,"California","SODA LAKE",4.05,32.97,90.68,2
14066,32,"California","BIG BEAR",10.29,12.52,81.18,2
14067,33,"California","ESSEX",0.49,71.88,98.43,2
14068,33,"California","FLYNN",2.07,31.08,95.08,2
14069,33,"California","IRON MTNS",4.42,13.54,86.71,2
14070,33,"California","COACHELLA CN",4.92,74.41,89.81,2
14071,32,"California","POINT REYES",18.16,9.25,77.77,2
14072,32,"California","AUBURN",21.43,6.93,71.7,2
14073,9,"California","INGALLS",11.21,16.54,79.04,2
14074,5,"California","MARTINS FY",9.85,21.89,85.15,2
14075,5,"California","RIO DELL",15.07,14.41,79.86,2
14076,9,"California","RAVENDALE",3.32,32.54,94.06,2
14077,5,"California","SHASTA LAKE",13.74,34.69,80.43,2
14078,15,"California","JOHNSVILLE",5.53,68.11,88.25,2
14079,32,"California","COHASSET",10.24,17.64,84,2
14080,32,"California","ORLAND",5.18,26.67,89.52,2
14081,5,"California","NAVARRO",9.7,10.96,86.23,2
14082,15,"California","WOODFORDS",8.4,6.86,82.3,2
14083,32,"California","FAIRFAX",18.65,9.19,78.43,2
14084,9,"California","BENTON",2.53,44.8,94.58,2
14085,33,"California","LUCERNE VAL",1.52,77.86,96.33,2
14086,33,"California","HAVASU LAKE",3.08,49.87,92.41,2
14088,33,"California","COTTONWOOD",1.03,97.4,97.9,2
14089,33,"California","NILAND",7.32,8.5,84.85,2
14090,33,"California","BLYTHE",3.93,51.83,91.16,2
14091,32,"California","POWAY",21.45,7.48,73.06,2
14092,33,"California","ALAMO RIVER",8.62,5.05,82,2
14093,33,"California","IMPERIAL DAM",8.47,15.47,83.12,2
14094,33,"California","FT IRWIN",3.69,76.06,90.25,2
14095,15,"California","LUMBERYARD",4.63,70.33,93.3,2
14096,9,"California","BODIE",2.94,48.67,94.25,2
14097,32,"California","ONO",15.92,11.84,76.34,2
14098,32,"California","FOLSOM",17.25,10.03,76.83,2
14099,32,"California","S CATALINA",5.02,47.2,89.82,2
14103,32,"California","SAWMILL MTN",11.59,37.75,81,2
14104,32,"California","TUJUNGA",8.68,42.55,84.03,2
14105,32,"California","EL TORO",20.05,9.94,69.49,2
14106,32,"California","MESA GRANDE",7.69,20.12,84.65,2
14107,32,"California","LAKE HEMET",8.63,43.37,83.84,2
14108,32,"California","CARMEL VAL",13.92,10.74,79.29,2
14109,33,"California","CIMA",1.58,54.07,96.36,2
14110,15,"California","GREENHORN MT",10.7,30.68,84.77,2
14111,32,"California","VALERMO",11.57,17.44,81.35,2
14112,33,"California","PEARBLOSSOM",5.86,23.38,85.97,2
14113,32,"California","FALLSVALE",8.07,18.68,84.2,2
14114,32,"California","SISQUOC",16.15,5.37,76.14,2
14116,33,"California","LONE PINE",5.05,39.37,93.11,2
14117,32,"California","SILVER CITY",15.14,21.04,77.6,2
14118,32,"California","LOCKWOOD VAL",11.8,49.01,79.97,2
14119,32,"California","ELSINORE MTN",5.7,75.52,88.88,2
14120,32,"California","CP PENDLETON",12.84,11.25,80.07,2
14121,32,"California","MT LAGUNA",10.35,32.25,82.37,2
14122,32,"California","CUYAMACA PK",6.3,44.28,88.54,2
14123,32,"California","ADELAIDA",13.44,9.86,77.59,2
14124,33,"California","DEATH VALLEY",3.11,42.32,93.04,2
14125,32,"California","MARICOPA",10.7,20.12,78.26,2
14126,32,"California","ANZA",7.18,46.12,84.55,2
14127,32,"California","SANGER",12.15,33.16,83.47,2
14128,32,"California","KELSO VALLEY",6.15,40.15,84.08,2
14129,32,"California","MT BALDY",7.71,58.92,87.27,2
14130,32,"California","GREEN VALLEY",11.18,39.35,80.53,2
14131,33,"California","JOSHUA TREE",3.04,26.58,90.25,2
14132,15,"California","KINGS CANYON",7.03,33.96,85.03,2
14133,32,"California","ELIZABETH LK",10.83,48.95,80.96,2
14134,32,"California","VENTUCOPA",10.03,16.15,81.41,2
14135,32,"California","SANTA CRUZ I",7.63,60.69,86.4,2
14136,32,"California","LAKE CACHUMA",15.37,23.46,76.62,2
14137,32,"California","JACUMBA",6.87,23.92,82.12,2
14138,32,"California","CRESTON",11.44,12.21,80.9,2
14139,33,"California","GREENWATER V",0.51,82,98.85,2
14140,32,"California","CARRIZO PLN",3.08,76.73,87.44,2
14141,15,"California","WHITE RIVER",15.24,39.12,79.01,2
14142,32,"California","MT PINOS 2",8.16,49.09,84.38,2
14145,32,"California","SHAFTER",6.26,21.25,84.92,2
14147,32,"California","ARVIN",3.73,26.44,91.06,2
14148,32,"California","GLENN",4.96,31.61,91.35,2
14149,32,"California","ATWATER",4.63,14.4,85.91,2
14150,33,"California","BRAWLEY",6.07,5.35,85.47,2
14151,9,"California","LIKELY",9.04,8.81,80.71,2
14152,32,"California","CORDOVA",9.94,13.88,83.16,2
14153,32,"California","GOLD HILL",22.94,4.55,74.19,2
14154,9,"California","CROWLEY LAKE",3.86,35.21,92.03,2
14155,32,"California","WESTLEY",8.25,32.12,86.54,2
14156,15,"California","TUOLUMNE GR",4.91,24.26,89.13,2
14157,32,"California","JACKSON",15.73,12.79,80.72,2
14158,15,"California","SATTLEY",8.56,16.07,81.9,2
14159,32,"California","OROVILLE",7.47,24.5,86.23,2
14160,5,"California","LONGVALE",22.08,3.15,70.73,2
14161,32,"California","TEHAMA",9.68,21.86,81.58,2
14162,9,"California","HONEY LAKE",2.87,58.77,94.38,2
14163,32,"California","REDDING",20.22,12.24,72.14,2
14164,5,"California","JUNCTION CTY",11.31,32.2,83.86,2
14165,9,"California","DAVIS CREEK",7.94,20.16,82.61,2
14166,9,"California","DORRIS",4.97,8.39,87.26,2
14167,5,"California","ORLEANS",11.4,33.41,84.61,2
14168,9,"California","MACDOEL",7.66,17.25,85.78,2
14169,5,"California","MCCLOUD",13.59,27.8,80.82,2
14170,9,"California","BRIDGEPORT",4.1,53.04,92.2,2
14171,32,"California","TRANQUILLITY",7.98,18.53,85.44,2
14172,32,"California","MORAGA",14.64,7.23,77.83,2
14173,32,"California","LOCKWOOD",11.16,10.63,79.19,2
14174,5,"California","OFFIELD MTN",7.6,72.49,88.22,2
14175,5,"California","MT SHASTA",6.22,23.9,87.56,2
14176,9,"California","CLEAR LK RES",7.09,12.52,80.6,2
14177,9,"California","CEDARVILLE",9.27,13.34,82.34,2
14178,5,"California","ALDERPOINT",20.85,17.06,75.47,2
14179,32,"California","YOLLA BOLLY",9.03,51.44,84.33,2
14180,15,"California","BUTTE MEADOW",4.16,28.53,91.66,2
14181,15,"California","GENESEE",5.54,45.79,89.14,2
14182,5,"California","LAYTONVILLE",14.23,45.09,83.28,2
14183,32,"California","BARTLETT SPS",12.84,18.74,81.24,2
14184,15,"California","HIGGINS CORN",24.14,18.36,69.66,2
14185,15,"California","DOWNIEVILLE",7.49,29.31,89.14,2
14186,32,"California","MARK WEST",18.16,14.84,77.53,2
14187,32,"California","ZAMORA",3.79,25.37,91.07,2
14188,15,"California","RIVERTON",5.87,29.38,88.53,2
14189,32,"California","COYOTE",14.97,15.42,77.58,2
14190,32,"California","COPPEROPOLIS",10.23,17.14,86.61,2
14191,32,"California","ONEALS",6.94,73.02,91.06,2
14192,9,"California","DEEP SPRINGS",6.25,47.98,85.93,2
14193,5,"California","BODEGA BAY",11.03,19.64,85.69,2
14194,32,"California","WATERMAN GAP",8.56,31.15,85.7,2
14195,32,"California","GREENFIELD",9.83,7.92,81.15,2
14196,32,"California","ORA LOMA",7.79,12.86,85.63,2
14197,32,"California","TIPTON",5.54,33.5,87.52,2
14198,5,"California","YREKA",9.79,10.7,82.36,2
